LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-06-16 21:31:50,1900-01-00 00:00:00,,68:4A:AE:EA:F3:E4,-75, ,0.000000,0.000000,0.000,0.000,AP
2023-06-16 21:31:50,1900-01-00 00:00:00,PLDTHOMEFIBReCZw5,68:4A:AE:EA:F3:E4,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-06-16 21:31:50,1900-01-00 00:00:00,PLDTHOMEFIBReCZw5,68:4A:AE:EA:F3:E4,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-06-16 21:31:50,1900-01-00 00:00:00,,B0:B5:C3:00:C4:6D,-88,,0.000000,0.000000,0.000,0.000,Client
2023-06-16 21:31:51,1900-01-00 00:00:00,PLDTHOMEFIBReCZw5,68:4A:AE:EA:F3:E4,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-06-16 21:31:51,1900-01-00 00:00:00,PLDTHOMEFIBReCZw5,68:4A:AE:EA:F3:E4,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-06-16 21:31:51,1900-01-00 00:00:00,PLDTHOMEFIBReCZw5,68:4A:AE:EA:F3:E4,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-06-16 21:31:51,1900-01-00 00:00:00,,B0:B5:C3:00:C4:6D,-93,,0.000000,0.000000,0.000,0.000,Client
2023-06-16 21:31:51,1900-01-00 00:00:00,PLDTHOMEFIBReCZw5,68:4A:AE:EA:F3:E4,-75, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-06-16 21:31:51,1900-01-00 00:00:00,,E2:63:2E:0C:5E:59,-90,,0.000000,0.000000,0.000,0.000,Client
2023-06-16 21:31:51,1900-01-00 00:00:00,PLDTHOMEFIBReCZw5,68:4A:AE:EA:F3:E4,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-06-16 21:31:51,1900-01-00 00:00:00,,E2:63:2E:0C:5E:59,-90,,0.000000,0.000000,0.000,0.000,Client
2023-06-16 21:31:51,1900-01-00 00:00:00,PLDTHOMEFIBReCZw5,68:4A:AE:EA:F3:E4,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-06-16 21:31:51,1900-01-00 00:00:00,,B4:A5:AC:9A:47:4F,-89,,0.000000,0.000000,0.000,0.000,Client
2023-06-16 21:31:51,1900-01-00 00:00:00,,B4:A5:AC:9A:47:4F,-89,,0.000000,0.000000,0.000,0.000,Client
2023-06-16 21:31:51,1900-01-00 00:00:00,,B4:A5:AC:9A:47:4F,-89,,0.000000,0.000000,0.000,0.000,Client
2023-06-16 21:31:51,1900-01-00 00:00:00,,B4:A5:AC:9A:47:4F,-90,,0.000000,0.000000,0.000,0.000,Client
